age,number_of_juvenile_fellonies,decile_score,number_of_juvenile_misdemeanors,number_of_other_juvenile_offenses,number_of_prior_offenses,days_before_screening_arrest,days_in_custody,violence_decile_score,label
69,0,1,0,0,0,-1,7,1,0
34,0,3,0,0,0,-1,10,1,1
44,0,1,0,0,0,0,1,1,0
43,0,4,0,0,3,-1,12,3,0
39,0,1,0,0,0,-1,3,1,0
21,0,3,0,0,1,428,1,5,1
27,0,4,0,0,0,-1,1,4,0
37,0,1,0,0,0,0,1,1,0
41,0,4,0,0,0,-1,1,2,0
37,0,1,0,0,0,0,0,1,0
25,0,10,0,0,3,-1,62,9,0
31,0,5,0,0,6,-1,1,4,1
21,0,4,0,0,0,-2,1,5,0
43,0,1,0,0,1,-1,1,2,0
32,0,3,0,0,0,-1,2,4,0
27,0,3,0,0,8,-1,1,3,1
36,0,3,0,0,3,53,1,1,0
33,0,10,0,0,0,0,21,6,1
55,0,1,0,0,0,-1,2,1,0
26,0,8,0,2,6,81,12,8,0
29,0,2,0,0,0,0,0,2,0
21,0,8,0,0,2,-1,1,8,0
51,0,1,0,0,2,-1,1,1,0
51,0,2,0,0,7,-1,8,2,0
25,0,10,0,0,9,-1,9,9,1
35,1,8,0,4,13,-1,1,3,1
49,0,1,0,0,0,0,0,1,0
29,0,4,0,0,0,0,0,3,0
28,0,2,0,0,0,-1,1,2,0
63,0,1,0,0,1,-219,8,1,0
31,0,5,0,1,15,-1,136,7,0
30,0,7,0,0,0,0,23,3,0
49,0,1,0,0,4,-1,1,1,0
53,0,5,0,0,8,-13,13,2,0
35,0,3,0,0,5,-1,1,2,0
62,0,1,0,0,0,0,0,1,0
33,0,1,0,0,0,-1,1,1,0
56,0,1,0,0,0,0,3,1,0
45,0,1,0,0,6,-1,242,1,1
22,0,4,0,0,1,-1,1,6,0
39,0,4,0,0,1,-1,5,2,0
40,0,2,0,0,2,-15,3,1,0
22,0,8,0,0,0,-1,21,6,0
26,0,4,0,0,1,-1,58,3,1
27,0,7,0,0,1,-43,137,8,1
32,0,2,0,0,0,-1,1,1,0
41,0,2,0,0,1,-1,2,2,0
30,0,10,0,0,8,-1,1,9,1
25,1,10,6,1,14,-1,19,10,1
20,0,5,0,0,0,-1,423,8,1
35,0,2,0,0,1,-1,1,1,0
25,0,8,0,0,9,-1,2,9,1
20,0,7,0,0,0,-1,1,8,0
66,0,1,0,0,3,-64,30,1,0
54,0,1,0,0,0,0,0,1,0
44,0,1,0,0,0,-2,1,1,0
19,0,4,0,0,1,-10,6,7,1
24,0,2,0,0,1,-137,0,3,0
30,0,2,0,0,1,-1,1,2,0
39,0,1,0,0,0,-1,2,1,1
30,0,4,0,0,0,-1,27,2,0
31,0,5,0,0,0,-1,39,2,0
39,0,4,0,0,1,-1,5,3,0
