P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,label
824.0,0.498786,0.008495,0.103155,0.053269,0.941748,0.0,0.862454,0.003718,0.022305,0.035842,0.003718,0.996283,0.071685,0.16129,0.0,1
707.0,0.480905,0.0,0.130127,0.098093,0.905233,0.0,0.752896,0.0,0.011583,0.106897,0.0,0.976834,0.234483,0.166667,1.0,0
2196.0,0.500911,0.077869,0.074681,0.057482,0.925774,0.0,0.824204,0.001274,0.029299,0.048485,0.080255,0.997452,0.225455,0.115942,0.166667,0
25430.0,0.505899,0.010303,0.066614,0.062475,0.915926,0.00987,0.825957,0.002982,0.040916,0.109234,0.009543,0.983061,0.182446,0.086674,0.519608,1
34925.0,0.488876,0.046614,0.068604,0.05193,0.480172,0.266829,0.520508,0.003315,0.184712,0.032799,0.036374,0.970541,0.445076,0.070381,0.363636,1
1310.0,0.457252,0.0,0.319847,0.240506,0.785496,0.065649,0.646729,0.0,0.011215,0.108333,0.0,0.996262,0.286667,0.078261,0.909091,0
3806.0,0.473726,0.005518,0.161324,0.129805,0.730163,0.0,0.546939,0.006997,0.08863,0.063353,0.005248,0.994169,0.379574,0.034177,0.736842,1
933.0,0.576635,0.07074,0.052519,0.055696,0.270097,0.636656,0.546012,0.01227,0.06135,0.28821,0.006135,1.0,0.39738,0.031746,0.75,1
35308.0,0.491532,0.007789,0.079161,0.057762,0.919537,0.002946,0.807717,0.002035,0.025155,0.062219,0.008059,0.991859,0.161234,0.03461,0.296296,1
13651.0,0.490294,0.03421,0.075965,0.057632,0.916783,0.003956,0.811513,0.001663,0.030756,0.097186,0.031172,0.992519,0.216698,0.053706,0.226994,1
5978.0,0.441619,0.206758,0.213115,0.191432,0.817163,0.038809,0.662072,0.002089,0.015038,0.11399,0.181704,0.991646,0.381199,0.091858,0.62069,0
9342.0,0.497538,0.001285,0.077714,0.054964,0.89103,0.0,0.75838,0.006704,0.045468,0.043224,0.000874,0.993296,0.308422,0.074675,0.533333,1
3598.0,0.475542,0.069483,0.133963,0.098039,0.866593,0.011117,0.7268,0.002227,0.043059,0.041963,0.057907,0.992576,0.267425,0.061333,0.555556,1
465.0,0.458065,0.006452,0.290323,0.190476,0.821505,0.0,0.628713,0.004951,0.029703,0.09009,0.004951,1.0,0.207207,0.078431,1.0,0
4215.0,0.487307,0.016845,0.071412,0.056455,0.679478,0.229656,0.744262,0.00082,0.04918,0.052059,0.018853,0.989344,0.438228,0.097264,0.25,0
34365.0,0.510258,0.010476,0.064746,0.064765,0.914157,0.008934,0.784644,0.006657,0.042716,0.041272,0.00932,0.244758,0.774811,0.333014,0.16,1
