f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,label
37,113,76,71,94,1,2,0,0,0,0,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,90,77,72,94,0,0,0,2,1,35,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
121,89,85,71,94,0,0,44,21,17,46,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
153,81,76,71,94,0,0,11,97,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,118,77,72,94,0,0,0,0,38,8,2,19,25,0,0,0,0,0,0,1,1,0,0,0,0,0
72,80,76,71,94,16,40,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,77,76,71,94,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,81,76,71,94,1,9,3,0,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,115,76,71,94,0,0,0,0,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,96,76,71,94,0,0,0,3,9,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,79,77,72,94,0,0,0,52,12,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
112,86,77,71,94,0,0,0,0,82,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,113,85,80,96,0,0,1,2,0,0,0,0,16,27,0,0,0,0,0,0,2,6,0,0,0,0
53,100,108,71,95,0,0,2,1,20,25,0,0,0,0,26,16,0,0,0,0,0,0,0,1,0,0
76,77,76,71,94,0,0,2,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,83,76,71,94,0,0,2,4,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,119,77,71,94,0,1,2,55,24,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0
24,77,77,73,159,0,1,8,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,30,0
151,105,76,71,94,9,37,1,58,24,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,92,82,77,94,0,0,0,0,0,59,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1
13,123,92,89,143,0,0,0,0,0,0,0,0,11,48,0,0,0,0,0,0,0,0,11,27,0,0
70,81,76,76,95,0,0,2,0,45,17,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
62,114,76,71,94,14,32,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,1
71,77,164,73,94,0,0,25,37,0,0,0,0,0,0,0,0,66,5,0,0,0,0,0,0,0,0
85,86,77,71,94,0,3,2,0,42,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,77,76,71,94,0,39,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,81,76,71,94,0,2,14,32,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,77,79,71,94,0,9,37,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
32,112,76,71,94,5,5,0,0,3,0,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
18,77,84,165,109,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,24,22,32,0,0,0,0
65,77,76,71,94,4,16,32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,77,76,73,95,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
81,77,76,71,94,0,0,0,31,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,77,78,71,94,2,7,63,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,92,76,75,99,0,0,0,2,1,28,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
117,77,76,71,94,0,71,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,86,76,71,94,31,31,2,1,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,82,77,71,94,0,0,0,0,29,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,77,76,86,106,0,14,32,1,6,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,1
