Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Vehicle_Reference_df,Casualty_Reference,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,label
1,9,18,0,0,0,30,6,1595.0,1,14,507520.0,178790.0,-0.452474,51.497835,1,2,1,26.0,408.0,0.0,1,1,30,6,0,0,9,5,0
3,9,2,0,0,0,28,6,1986.0,2,7,307640.0,140923.0,-3.322156,51.160076,52,3,4,609.0,39.0,0.0,1,1,50,8,0,0,9,5,0
2,9,16,0,0,0,39,7,1995.0,2,3,425080.0,378610.0,-1.625111,53.303848,30,2,3,329.0,6521.0,0.0,2,2,11,3,0,0,9,9,1
2,9,9,0,0,0,51,8,1598.0,1,12,425435.0,212765.0,-1.63245,51.812943,43,2,3,485.0,361.0,0.0,1,1,24,5,0,0,9,4,1
1,9,9,0,0,0,38,7,1560.0,2,7,433787.0,296399.0,-1.502993,52.56437800000001,23,2,2,290.0,5.0,0.0,2,2,42,7,0,0,9,1,0
1,9,16,0,0,0,53,8,1796.0,1,13,561051.0,179956.0,0.318652,51.495608,42,2,2,462.0,0.0,0.0,2,1,36,7,0,0,11,2,0
1,2,17,0,0,2,16,4,49.0,1,3,360130.0,398330.0,-2.602236,53.480172,6,1,2,114.0,0.0,0.0,1,1,16,4,0,0,2,3,0
1,9,18,0,0,0,17,4,1388.0,1,12,586493.0,192403.0,0.691349,51.599588,42,2,3,459.0,0.0,0.0,2,3,18,4,0,0,9,9,1
2,9,7,0,0,0,27,6,1242.0,1,7,621646.0,337281.0,1.293086,52.887276,36,3,1,405.0,1436.0,0.0,2,1,27,6,0,0,9,5,1
2,9,4,0,0,0,47,8,1560.0,2,5,458388.0,304524.0,-1.138674,52.635333,33,2,1,364.0,47.0,2746.0,2,1,42,7,9,9,0,3,0
1,9,11,0,0,7,68,10,1598.0,1,12,378047.0,352532.0,-2.329087,53.069569,21,3,3,253.0,500.0,0.0,1,1,68,10,0,0,9,9,1
1,9,2,0,0,0,19,4,1199.0,1,11,436540.0,340310.0,-1.457501,52.958923,30,2,2,324.0,38.0,0.0,1,1,19,4,0,0,9,7,1
2,9,18,0,0,0,23,5,4197.0,1,9,450762.0,520048.0,-1.216298,54.573109,17,2,3,243.0,66.0,0.0,1,1,42,7,0,0,9,7,0
1,19,18,0,0,0,42,7,2143.0,2,2,454610.0,299860.0,-1.195261,52.593802,33,3,1,360.0,1.0,0.0,1,1,42,7,0,0,19,8,0
2,9,18,0,0,0,62,9,2496.0,1,12,528533.0,108056.0,-0.175191,50.857742,47,2,1,565.0,2038.0,27.0,1,1,32,6,0,0,9,3,0
1,21,4,0,0,0,28,6,10837.0,2,1,356050.0,433110.0,-2.668636,53.792435,4,4,5,79.0,6.0,0.0,3,5,52,8,0,0,10,1,0
3,9,18,0,0,0,33,6,2198.0,1,7,390370.0,390110.0,-2.1463240000000003,53.407716,6,3,1,109.0,626.0,0.0,3,1,33,6,0,0,9,8,1
1,9,18,0,0,0,31,6,1397.0,1,13,575234.0,239119.0,0.552567,52.02281,42,2,5,451.0,0.0,0.0,1,2,3,1,0,0,9,6,0
3,9,4,0,0,0,33,6,2496.0,1,14,176979.0,45123.0,-5.130604,50.263874,50,6,4,596.0,0.0,0.0,4,1,28,6,0,0,9,4,0
1,9,18,0,10,10,51,8,1598.0,2,2,429977.0,571250.0,-1.532519,55.034872,10,1,1,148.0,19.0,0.0,1,1,51,8,0,0,9,4,0
1,9,9,0,0,0,84,11,1590.0,1,14,333380.0,430150.0,-3.012075,53.763422,4,2,2,74.0,5261.0,0.0,2,2,21,5,0,0,9,3,1
1,9,9,0,0,0,47,8,1396.0,1,15,525970.0,174680.0,-0.188282,51.457092,1,2,1,10.0,3.0,0.0,2,1,23,5,0,0,3,4,0
2,9,18,0,0,0,36,7,1388.0,1,10,330191.0,391103.0,-3.05169,53.412098,5,2,2,95.0,5088.0,5145.0,2,2,59,9,0,0,9,3,1
2,9,18,0,0,0,57,9,1896.0,2,7,537610.0,194880.0,-0.012956,51.635902,1,2,2,13.0,110.0,112.0,2,1,57,9,0,0,9,7,0
2,9,4,0,0,0,44,7,2499.0,1,9,529460.0,175330.0,-0.13784,51.462147,1,2,1,9.0,3.0,3.0,1,1,35,6,0,0,3,2,0
2,9,18,0,0,0,71,10,2204.0,2,10,479311.0,261245.0,-0.83983,52.243685,34,3,3,384.0,45.0,0.0,2,2,33,6,0,0,9,8,0
1,9,4,0,0,0,20,4,1968.0,2,7,423521.0,434343.0,-1.644332,53.80485600000001,13,7,5,204.0,647.0,0.0,5,4,39,7,0,0,9,5,0
1,9,7,0,0,0,62,9,1968.0,2,6,508270.0,236894.0,-0.423592,52.019913,40,2,2,424.0,118.0,6.0,2,2,9,2,0,0,9,10,1
1,9,5,0,0,0,45,7,5439.0,1,13,433521.0,454317.0,-1.490316,53.983826,12,3,1,182.0,661.0,47.0,1,1,45,7,0,0,9,7,0
1,9,18,0,0,0,27,6,1395.0,1,2,412830.0,282800.0,-1.812675,52.443018,20,2,3,300.0,41.0,41.0,1,3,23,5,0,0,9,2,1
1,9,18,0,4,0,23,5,1984.0,1,6,399990.0,288730.0,-2.001577,52.496477,20,5,3,305.0,0.0,0.0,1,1,23,5,0,0,9,3,0
2,9,4,0,0,0,36,7,1206.0,1,6,528590.0,190090.0,-0.144973,51.594989,1,2,2,31.0,550.0,0.0,2,2,36,7,0,0,9,8,0
2,5,18,0,0,0,23,5,598.0,1,16,374590.0,164452.0,-2.366479,51.378545,52,3,2,611.0,36.0,0.0,2,2,23,5,0,0,5,10,0
4,9,4,0,0,0,45,7,1998.0,1,14,507040.0,220813.0,-0.446511,51.875624,40,5,6,424.0,1.0,0.0,3,6,4,1,0,0,9,1,0
2,9,18,0,0,0,60,9,1685.0,2,1,416371.0,434813.0,-1.752873,53.809353,13,2,3,200.0,6037.0,0.0,2,3,39,7,0,0,9,7,1
